Name	Another name	Abbr.	Commercial name		Type	Km Hki	Code	Section	Municipality	Traffic control		Private sidings	Shunting	Latitude	Longitude
Ahonpää		Aho			Liikennepaikka	690+468	01343	Seinäjoki–Oulu	Siikajoki	K			K	64.537118	25.006783
Ahvenus		Ahv			Liikennepaikka	270+960	01000	Lielahti–Kokemäki	Kokemäki	K				61.291923	22.498185
Ainola		Ain			Seisake	34+784	00628	Helsinki–Riihimäki	Järvenpää					60.455619	25.101895
Airaksela		Arl			Liikennepaikka	436+985	00869	Pieksämäki–Kontiomäki	Kuopio	K		K	K	62.724396	27.4295
Aittaluoto		Atl			Liikennepaikka	328+220	00676	Pori–Aittaluoto	Pori			K	K	61.476933	21.84537
Ajos		Ajo			Liikennepaikka	867+098	00767	Kemi–Ajos	Kemi			K	K	65.673679	24.541716
Alapitkä		Apt			Liikennepaikka	505+840	00415	Pieksämäki–Kontiomäki	Lapinlahti	K			K	63.200823	27.535426
Alavus		Alv			Liikennepaikka	373+445	00284	Orivesi–Seinäjoki	Alavus	K			K	62.617769	23.600437
Alholma	Alholmen	Alh			Liikennepaikka	532+570	00308	Pietarsaari–Alholma	Pietarsaari			K	K	63.706765	22.695265
Arola		Aro			Liikennepaikka	707+668	00939	Kontiomäki–Vartius-raja	Hyrynsalmi	K			K	64.450787	29.022513
Asola		Aso			Liikennepaikka	31+596	01340	Huopalahti–Havukoski	Vantaa	K				60.320974	25.047287
Aviapolis		Avp			Seisake	25+135	01331	Huopalahti–Havukoski	Vantaa					60.30435	24.956191
Dragsvik		Dra			Liikennepaikka	171+180	00167	Karjaa–Hanko	Raasepori	K				59.990199	23.488607
Dynamiittivaihde		Dmv			Linjavaihde	199+185	00581	Karjaa–Hanko	Hanko			K	K	59.866408	23.084138
Eläinpuisto-Zoo		Epz			Seisake	338+683	00623	Orivesi–Seinäjoki	Ähtäri					62.540677	24.191479
Eno		Eno			Liikennepaikka	660+170	00464	Joensuu–Nurmes	Joensuu	K			K	62.806375	30.141691
Ervelä		Erv			Liikennepaikka	119+816	01004	Helsinki–Turku satama	Salo	K				60.203374	23.22228
Eskola		Ela			Liikennepaikka	603+762	00318	Seinäjoki–Oulu	Kannus	K			K	63.914902	24.151369
Espoo	Esbo	Epo			Liikennepaikka	20+600	00066	Helsinki–Turku satama	Espoo	K				60.205067	24.655992
Haapajärvi		Hpj			Liikennepaikka	649+205	00330	Iisalmi–Ylivieska, Äänekoski–Haapajärvi	Haapajärvi	K			K	63.754515	25.33434
Haapakoski		Hps			Liikennepaikka	393+454	00402	Pieksämäki–Kontiomäki	Pieksämäki	K			K	62.452365	27.175449
Haapamäen kyllästämö		Hmk			Linjavaihde	304+940	01008	Orivesi–Seinäjoki	Keuruu			K		#N/A	#N/A
